Unnamed: 0,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore,avg_total_score
2,female,group B,master's degree,standard,none,single,sometimes,yes,4.0,school_bus,< 5,87,93,91,90.0
4,male,group C,some college,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,76,78,75,76.0
5,female,group B,associate's degree,standard,none,married,regularly,yes,1.0,school_bus,5 - 10,73,84,79,79.0
6,female,group B,some college,standard,completed,widowed,never,no,1.0,private,5 - 10,85,93,89,89.0
8,male,group D,high school,free/reduced,completed,single,sometimes,no,3.0,private,> 10,65,64,68,66.0
11,male,group D,associate's degree,standard,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,40,52,43,45.0
12,female,group B,high school,standard,none,married,regularly,no,1.0,private,5 - 10,66,82,74,74.0
13,male,group A,some college,standard,completed,single,sometimes,yes,1.0,private,> 10,80,73,71,75.0
14,female,group A,master's degree,standard,none,divorced,sometimes,yes,2.0,private,< 5,48,53,58,53.0
18,male,group C,master's degree,free/reduced,completed,single,sometimes,no,1.0,private,5 - 10,46,42,47,45.0
19,female,group C,associate's degree,free/reduced,none,married,never,yes,3.0,private,< 5,50,56,58,55.0
20,male,group D,high school,standard,none,married,sometimes,yes,5.0,school_bus,5 - 10,66,69,63,66.0
21,female,group B,some college,free/reduced,completed,married,sometimes,no,2.0,school_bus,5 - 10,65,75,70,70.0
25,male,group A,master's degree,free/reduced,none,married,regularly,yes,1.0,school_bus,5 - 10,75,76,76,76.0
26,male,group B,some college,standard,none,married,sometimes,yes,5.0,school_bus,< 5,66,53,53,57.0
27,female,group C,bachelor's degree,standard,none,married,sometimes,yes,4.0,school_bus,> 10,69,70,76,72.0
28,male,group C,high school,standard,none,married,sometimes,no,1.0,private,5 - 10,70,70,65,68.0
30,female,group D,some college,standard,none,single,sometimes,yes,0.0,private,< 5,66,72,72,70.0
32,female,group E,master's degree,free/reduced,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,56,73,66,65.0
36,female,group D,associate's degree,standard,none,married,regularly,no,2.0,private,5 - 10,76,82,85,81.0
37,female,group D,some high school,free/reduced,none,married,regularly,yes,1.0,private,5 - 10,51,64,60,58.0
38,female,group D,associate's degree,free/reduced,completed,married,regularly,no,1.0,school_bus,5 - 10,77,91,90,86.0
39,male,group B,associate's degree,free/reduced,none,single,regularly,yes,5.0,school_bus,5 - 10,58,56,58,57.0
40,male,group C,associate's degree,free/reduced,none,married,never,yes,0.0,school_bus,5 - 10,53,60,52,55.0
44,female,group E,associate's degree,free/reduced,none,married,sometimes,yes,5.0,school_bus,< 5,48,55,52,52.0
45,male,group B,associate's degree,standard,none,single,sometimes,yes,3.0,school_bus,< 5,63,53,55,57.0
52,male,group C,some college,standard,none,divorced,regularly,yes,3.0,school_bus,> 10,56,45,43,48.0
53,male,group D,high school,standard,none,single,sometimes,yes,2.0,school_bus,5 - 10,88,78,75,80.0
56,female,group E,associate's degree,standard,completed,married,sometimes,yes,3.0,school_bus,> 10,84,86,87,86.0
57,male,group D,associate's degree,standard,none,single,sometimes,no,2.0,private,5 - 10,52,55,49,52.0
62,male,group A,associate's degree,free/reduced,none,married,sometimes,yes,5.0,private,5 - 10,62,61,55,59.0
64,female,group D,some high school,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,59,58,59,59.0
65,male,group B,some high school,standard,none,married,never,yes,1.0,private,< 5,63,62,58,61.0
67,female,group C,some college,standard,none,married,regularly,no,3.0,school_bus,5 - 10,61,73,75,70.0
69,female,group C,associate's degree,standard,none,single,sometimes,yes,3.0,school_bus,5 - 10,39,64,57,53.0
71,male,group D,some college,standard,completed,divorced,sometimes,yes,3.0,private,> 10,64,55,64,61.0
72,female,group A,associate's degree,free/reduced,none,single,regularly,yes,1.0,private,5 - 10,42,51,49,47.0
73,male,group C,some high school,free/reduced,none,divorced,never,yes,3.0,school_bus,5 - 10,59,56,54,56.0
78,female,group D,some high school,standard,completed,divorced,sometimes,yes,2.0,school_bus,> 10,62,75,73,70.0
79,female,group E,master's degree,standard,none,divorced,never,yes,1.0,school_bus,5 - 10,60,68,68,65.0
80,female,group B,associate's degree,standard,none,married,regularly,yes,0.0,private,> 10,49,50,52,50.0
83,male,group E,associate's degree,standard,none,married,regularly,yes,0.0,private,5 - 10,74,64,64,67.0
85,female,group C,some college,standard,none,divorced,sometimes,yes,0.0,private,5 - 10,73,80,82,78.0
87,female,group D,associate's degree,standard,none,single,sometimes,yes,0.0,private,5 - 10,71,71,74,72.0
88,female,group A,some college,standard,none,divorced,regularly,yes,3.0,school_bus,< 5,57,69,67,64.0
93,male,group C,associate's degree,free/reduced,completed,married,regularly,no,3.0,private,> 10,45,46,52,48.0
94,female,group B,some college,standard,none,married,regularly,yes,4.0,private,5 - 10,81,87,94,87.0
96,male,group B,some high school,standard,completed,married,regularly,yes,5.0,school_bus,5 - 10,63,65,61,63.0
99,female,group D,bachelor's degree,standard,none,married,regularly,yes,3.0,school_bus,< 5,64,66,62,64.0
100,male,group B,some college,standard,none,married,sometimes,no,7.0,school_bus,5 - 10,79,67,67,71.0
101,male,group D,bachelor's degree,standard,completed,single,sometimes,no,1.0,private,5 - 10,68,74,74,72.0
102,female,group D,associate's degree,standard,none,married,regularly,yes,3.0,school_bus,5 - 10,87,92,91,90.0
103,male,group B,high school,standard,completed,married,regularly,no,3.0,school_bus,5 - 10,61,44,48,51.0
105,female,group C,some college,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,58,67,72,66.0
108,female,group B,associate's degree,free/reduced,none,married,sometimes,yes,2.0,school_bus,5 - 10,52,76,70,66.0
109,female,group B,some high school,standard,none,single,regularly,no,3.0,school_bus,5 - 10,72,64,73,70.0
110,female,group D,associate's degree,free/reduced,completed,single,sometimes,yes,4.0,school_bus,> 10,79,90,99,89.0
112,male,group A,associate's degree,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,54,53,47,51.0
113,female,group D,some college,standard,none,married,never,yes,1.0,school_bus,< 5,47,56,51,51.0
115,male,group C,high school,standard,none,married,sometimes,yes,4.0,private,5 - 10,84,77,74,78.0
116,female,group B,bachelor's degree,free/reduced,none,single,never,no,1.0,school_bus,5 - 10,72,83,79,78.0
117,female,group D,bachelor's degree,standard,none,married,never,no,2.0,private,5 - 10,75,80,77,77.0
118,female,group D,some high school,standard,none,single,regularly,yes,0.0,private,> 10,54,64,63,60.0
119,female,group C,some college,standard,none,divorced,sometimes,no,3.0,school_bus,5 - 10,55,69,65,63.0
120,female,group C,bachelor's degree,standard,completed,married,never,yes,1.0,school_bus,5 - 10,76,90,86,84.0
121,male,group B,associate's degree,standard,completed,married,sometimes,yes,3.0,school_bus,< 5,88,87,90,88.0
124,male,group E,some college,standard,none,single,regularly,no,3.0,school_bus,< 5,82,79,73,78.0
