Unnamed: 0,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore,avg_total_score
7,male,group B,some college,free/reduced,none,married,sometimes,yes,1.0,private,> 10,41,43,39,41.0
11,male,group D,associate's degree,standard,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,40,52,43,45.0
17,female,group B,some high school,free/reduced,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,18,32,28,26.0
18,male,group C,master's degree,free/reduced,completed,single,sometimes,no,1.0,private,5 - 10,46,42,47,45.0
52,male,group C,some college,standard,none,divorced,regularly,yes,3.0,school_bus,> 10,56,45,43,48.0
55,female,group C,high school,free/reduced,none,divorced,sometimes,yes,2.0,private,5 - 10,33,41,43,39.0
59,female,group C,some high school,free/reduced,none,single,regularly,yes,3.0,school_bus,> 10,0,17,10,9.0
66,male,group D,some high school,free/reduced,none,married,sometimes,yes,4.0,school_bus,5 - 10,45,37,37,40.0
72,female,group A,associate's degree,free/reduced,none,single,regularly,yes,1.0,private,5 - 10,42,51,49,47.0
93,male,group C,associate's degree,free/reduced,completed,married,regularly,no,3.0,private,> 10,45,46,52,48.0
131,male,group C,some high school,free/reduced,completed,single,regularly,yes,1.0,private,< 5,52,36,40,43.0
145,female,group C,some college,free/reduced,none,single,regularly,yes,1.0,school_bus,< 5,21,38,33,31.0
174,female,group C,bachelor's degree,free/reduced,completed,married,sometimes,no,1.0,school_bus,< 5,41,50,52,48.0
188,male,group B,some high school,free/reduced,none,married,regularly,no,3.0,school_bus,< 5,47,51,45,48.0
250,male,group A,some high school,standard,completed,single,sometimes,yes,2.0,school_bus,5 - 10,47,49,49,48.0
265,male,group D,some high school,free/reduced,none,divorced,sometimes,no,1.0,school_bus,< 5,57,41,40,46.0
323,female,group C,some high school,free/reduced,none,married,sometimes,yes,5.0,private,5 - 10,40,52,51,48.0
327,male,group A,some college,free/reduced,none,married,regularly,yes,2.0,school_bus,> 10,29,23,19,24.0
329,female,group B,some high school,standard,none,married,sometimes,yes,2.0,school_bus,< 5,39,54,49,47.0
338,female,group B,some high school,free/reduced,none,single,sometimes,no,3.0,school_bus,< 5,23,37,26,29.0
363,female,group D,some high school,free/reduced,none,single,sometimes,no,3.0,school_bus,< 5,26,33,31,30.0
383,female,group E,some high school,free/reduced,none,divorced,regularly,yes,3.0,private,> 10,40,50,47,46.0
384,female,group A,some high school,free/reduced,none,divorced,never,no,5.0,private,5 - 10,35,41,40,39.0
448,male,group B,high school,standard,none,widowed,regularly,yes,4.0,school_bus,5 - 10,48,46,43,46.0
455,male,group C,bachelor's degree,free/reduced,none,married,sometimes,yes,0.0,school_bus,5 - 10,37,56,47,47.0
466,female,group D,associate's degree,free/reduced,none,divorced,sometimes,no,1.0,school_bus,> 10,26,31,38,32.0
528,female,group D,bachelor's degree,free/reduced,none,single,sometimes,no,2.0,private,< 5,28,40,46,38.0
554,male,group E,associate's degree,standard,none,divorced,regularly,yes,1.0,private,> 10,56,46,41,48.0
565,male,group B,associate's degree,standard,none,divorced,sometimes,no,2.0,school_bus,< 5,46,42,44,44.0
596,male,group B,high school,free/reduced,none,married,regularly,no,2.0,school_bus,5 - 10,30,24,15,23.0
601,female,group C,high school,standard,none,divorced,sometimes,no,1.0,school_bus,5 - 10,29,29,30,29.0
706,male,group D,high school,standard,none,married,regularly,yes,2.0,private,5 - 10,47,34,36,39.0
723,male,group C,high school,standard,none,married,regularly,no,2.0,school_bus,5 - 10,51,48,43,47.0
724,male,group B,some college,standard,none,divorced,sometimes,yes,4.0,school_bus,> 10,48,43,41,44.0
729,male,group C,some college,standard,none,single,regularly,no,3.0,private,< 5,52,38,37,42.0
777,female,group C,some college,free/reduced,none,single,regularly,no,4.0,private,5 - 10,36,44,44,41.0
785,female,group B,some high school,standard,completed,married,sometimes,no,2.0,private,5 - 10,32,51,44,42.0
787,female,group B,some college,standard,none,single,regularly,no,4.0,private,< 5,18,37,32,29.0
810,male,group A,some high school,standard,none,married,sometimes,no,1.0,private,5 - 10,51,31,36,39.0
811,male,group A,high school,free/reduced,none,single,sometimes,yes,1.0,school_bus,> 10,46,47,49,47.0
840,female,group D,high school,free/reduced,none,divorced,sometimes,yes,4.0,school_bus,5 - 10,39,52,46,46.0
842,female,group B,high school,free/reduced,completed,married,sometimes,no,2.0,private,> 10,23,44,36,34.0
862,male,group D,bachelor's degree,free/reduced,completed,single,sometimes,no,2.0,private,< 5,37,41,37,38.0
889,male,group D,high school,free/reduced,none,divorced,sometimes,no,3.0,school_bus,< 5,42,50,47,46.0
928,male,group E,associate's degree,free/reduced,completed,married,sometimes,yes,0.0,school_bus,5 - 10,46,43,44,44.0
978,male,group D,high school,standard,completed,married,regularly,yes,5.0,private,< 5,54,40,48,47.0
980,female,group B,high school,free/reduced,none,married,sometimes,yes,1.0,private,5 - 10,8,24,23,18.0
18,female,group D,high school,free/reduced,none,single,regularly,yes,1.0,school_bus,5 - 10,42,46,46,45.0
48,male,group B,some high school,free/reduced,none,married,regularly,yes,0.0,school_bus,> 10,38,39,37,38.0
54,female,group D,associate's degree,free/reduced,none,divorced,sometimes,yes,1.0,school_bus,> 10,29,45,46,40.0
79,female,group B,high school,free/reduced,completed,divorced,regularly,yes,0.0,private,5 - 10,32,48,51,44.0
83,male,group B,some high school,standard,none,married,sometimes,yes,3.0,school_bus,5 - 10,48,43,37,43.0
87,male,group C,bachelor's degree,free/reduced,none,single,regularly,yes,1.0,private,5 - 10,36,42,39,39.0
113,male,group D,some high school,free/reduced,none,married,never,yes,1.0,private,5 - 10,49,47,46,47.0
215,male,group B,some high school,free/reduced,none,married,sometimes,yes,2.0,school_bus,5 - 10,47,46,39,44.0
234,female,group B,high school,free/reduced,completed,married,sometimes,yes,0.0,school_bus,5 - 10,32,56,51,46.0
267,female,group B,associate's degree,free/reduced,none,married,sometimes,yes,2.0,school_bus,5 - 10,26,48,37,37.0
275,female,group B,associate's degree,free/reduced,completed,married,sometimes,yes,0.0,private,5 - 10,29,49,50,43.0
279,female,group B,some college,free/reduced,none,single,sometimes,yes,1.0,private,< 5,36,46,43,42.0
299,male,group B,some college,free/reduced,completed,single,sometimes,yes,1.0,school_bus,5 - 10,45,44,51,47.0
307,female,group C,some college,standard,none,single,regularly,no,3.0,private,> 10,38,48,50,45.0
321,male,group C,some college,standard,completed,married,sometimes,yes,3.0,private,5 - 10,45,46,42,44.0
368,female,group B,high school,free/reduced,none,divorced,sometimes,yes,1.0,private,5 - 10,23,31,29,28.0
410,male,group C,some college,standard,none,widowed,sometimes,yes,1.0,school_bus,5 - 10,53,45,44,47.0
414,male,group D,some high school,free/reduced,completed,married,sometimes,yes,0.0,school_bus,5 - 10,42,26,32,33.0
415,male,group B,high school,standard,none,married,sometimes,no,2.0,private,< 5,38,23,27,29.0
422,female,group E,high school,standard,none,married,regularly,no,1.0,school_bus,5 - 10,30,47,42,40.0
425,male,group A,associate's degree,free/reduced,none,married,regularly,no,3.0,private,< 5,40,42,38,40.0
429,male,group B,associate's degree,free/reduced,none,divorced,sometimes,no,1.0,school_bus,< 5,45,37,38,40.0
433,male,group E,some high school,free/reduced,none,divorced,sometimes,no,3.0,school_bus,> 10,47,49,46,47.0
443,male,group B,high school,free/reduced,none,single,sometimes,no,1.0,school_bus,5 - 10,45,43,33,40.0
469,male,group B,some college,standard,none,single,sometimes,yes,4.0,school_bus,5 - 10,42,40,37,40.0
550,male,group B,high school,standard,none,married,never,no,3.0,school_bus,5 - 10,43,44,43,43.0
566,male,group B,some high school,free/reduced,none,single,sometimes,yes,1.0,private,> 10,30,21,17,23.0
569,female,group D,some high school,free/reduced,none,married,sometimes,yes,3.0,private,5 - 10,44,45,52,47.0
575,male,group D,high school,free/reduced,none,married,regularly,no,1.0,private,< 5,49,41,36,42.0
589,male,group B,some high school,free/reduced,none,married,sometimes,yes,1.0,private,5 - 10,34,37,35,35.0
592,male,group C,some college,standard,none,married,sometimes,yes,4.0,private,5 - 10,39,45,29,38.0
603,male,group C,some college,free/reduced,completed,married,sometimes,yes,0.0,private,5 - 10,30,30,36,32.0
637,male,group A,some high school,standard,none,single,sometimes,yes,0.0,private,< 5,40,31,27,33.0
644,male,group B,associate's degree,standard,none,married,regularly,yes,1.0,private,5 - 10,52,44,42,46.0
662,female,group C,high school,free/reduced,none,married,regularly,no,2.0,school_bus,> 10,33,53,48,45.0
673,male,group B,associate's degree,standard,none,married,sometimes,yes,1.0,school_bus,5 - 10,51,48,42,47.0
682,male,group D,bachelor's degree,standard,none,single,regularly,no,1.0,school_bus,< 5,57,41,43,47.0
693,male,group B,some high school,standard,none,married,sometimes,no,3.0,school_bus,5 - 10,45,37,35,39.0
694,female,group A,some high school,free/reduced,none,single,regularly,yes,0.0,school_bus,< 5,36,47,52,45.0
738,male,group C,some high school,standard,none,married,regularly,yes,2.0,private,5 - 10,45,44,43,44.0
765,female,group C,some high school,standard,completed,married,regularly,yes,1.0,school_bus,5 - 10,30,45,42,39.0
767,male,group C,high school,free/reduced,none,married,regularly,yes,2.0,school_bus,5 - 10,45,36,28,36.0
778,female,group D,some high school,standard,none,divorced,sometimes,yes,2.0,school_bus,5 - 10,39,44,47,43.0
811,male,group E,associate's degree,free/reduced,none,divorced,sometimes,yes,3.0,private,> 10,32,35,30,32.0
838,female,group B,some high school,standard,completed,married,sometimes,yes,1.0,private,5 - 10,33,44,46,41.0
844,female,group A,some college,free/reduced,none,divorced,never,no,1.0,private,< 5,29,46,42,39.0
886,male,group C,associate's degree,free/reduced,none,single,regularly,yes,2.0,private,5 - 10,45,47,44,45.0
891,female,group D,high school,free/reduced,none,divorced,regularly,yes,0.0,private,< 5,43,48,49,47.0
901,female,group D,associate's degree,free/reduced,none,single,sometimes,yes,4.0,private,5 - 10,29,42,40,37.0
910,female,group C,master's degree,free/reduced,completed,married,sometimes,yes,2.0,private,< 5,39,50,53,47.0
924,male,group B,some high school,free/reduced,none,married,never,yes,1.0,school_bus,5 - 10,43,45,43,44.0
930,female,group D,associate's degree,free/reduced,none,single,regularly,no,3.0,private,5 - 10,38,55,50,48.0
947,female,group B,high school,free/reduced,none,single,never,yes,1.0,private,> 10,39,55,48,47.0
969,male,group B,high school,free/reduced,none,widowed,sometimes,no,2.0,school_bus,< 5,44,39,40,41.0
988,male,group E,high school,free/reduced,none,single,regularly,yes,2.0,private,5 - 10,53,47,45,48.0
36,male,group C,associate's degree,free/reduced,none,married,regularly,yes,5.0,private,5 - 10,50,46,45,47.0
45,male,group A,some college,free/reduced,completed,divorced,sometimes,yes,2.0,private,5 - 10,45,42,41,43.0
77,female,group B,associate's degree,free/reduced,completed,married,never,yes,2.0,private,5 - 10,35,49,48,44.0
79,male,group C,associate's degree,free/reduced,none,married,regularly,yes,3.0,school_bus,5 - 10,31,43,39,38.0
88,male,group C,bachelor's degree,free/reduced,none,single,sometimes,yes,1.0,school_bus,> 10,43,36,37,39.0
102,female,group D,some high school,standard,none,divorced,sometimes,yes,1.0,private,5 - 10,37,39,37,38.0
105,female,group C,some college,free/reduced,completed,married,sometimes,no,4.0,private,5 - 10,37,45,47,43.0
139,male,group C,high school,free/reduced,none,single,never,yes,0.0,school_bus,5 - 10,45,50,44,46.0
146,female,group D,high school,free/reduced,none,married,regularly,yes,3.0,private,> 10,38,38,44,40.0
165,male,group D,some college,free/reduced,none,single,never,no,4.0,private,5 - 10,42,41,36,40.0
177,male,group B,associate's degree,free/reduced,completed,single,sometimes,yes,3.0,private,5 - 10,34,33,28,32.0
179,female,group C,some college,free/reduced,completed,married,sometimes,yes,2.0,private,5 - 10,41,50,54,48.0
188,male,group B,master's degree,free/reduced,none,divorced,sometimes,yes,7.0,private,5 - 10,48,49,44,47.0
199,male,group C,high school,free/reduced,none,single,never,yes,2.0,school_bus,> 10,41,37,35,38.0
231,female,group C,associate's degree,free/reduced,completed,married,regularly,yes,2.0,private,< 5,32,41,45,39.0
236,male,group A,some college,standard,completed,divorced,sometimes,yes,3.0,private,5 - 10,48,41,48,46.0
249,male,group B,some high school,standard,none,married,never,yes,3.0,private,5 - 10,40,32,30,34.0
286,male,group B,high school,standard,none,married,never,no,4.0,private,> 10,50,47,44,47.0
297,male,group E,some college,standard,none,married,sometimes,yes,1.0,school_bus,5 - 10,51,47,41,46.0
298,male,group D,high school,standard,none,married,sometimes,yes,0.0,private,5 - 10,35,28,25,29.0
300,male,group B,high school,standard,none,married,sometimes,yes,3.0,school_bus,< 5,32,43,34,36.0
303,male,group A,some college,free/reduced,none,married,regularly,yes,3.0,school_bus,5 - 10,26,35,30,30.0
307,male,group A,high school,standard,completed,married,regularly,yes,1.0,school_bus,< 5,52,42,48,47.0
312,female,group B,associate's degree,free/reduced,none,married,sometimes,no,3.0,school_bus,< 5,36,41,44,40.0
321,female,group B,associate's degree,free/reduced,completed,married,sometimes,no,4.0,private,< 5,34,44,45,41.0
386,male,group C,some high school,free/reduced,none,divorced,regularly,yes,0.0,school_bus,< 5,42,40,44,42.0
415,female,group A,high school,free/reduced,none,married,sometimes,yes,1.0,private,< 5,33,54,45,44.0
471,female,group C,some high school,free/reduced,completed,divorced,sometimes,yes,1.0,school_bus,< 5,31,46,46,41.0
478,male,group A,associate's degree,free/reduced,none,single,never,yes,5.0,private,5 - 10,46,53,42,47.0
484,male,group D,master's degree,free/reduced,none,single,sometimes,yes,0.0,private,5 - 10,43,41,44,43.0
485,female,group C,some college,standard,none,married,sometimes,yes,3.0,private,5 - 10,28,31,36,32.0
497,female,group C,some college,free/reduced,completed,single,sometimes,yes,4.0,school_bus,< 5,36,55,52,48.0
544,male,group A,high school,standard,none,single,sometimes,yes,1.0,school_bus,5 - 10,44,37,28,36.0
